,symboling,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,enginetype,cylindernumber,fuelsystem,brandName,wheelbase,carlength,carwidth,carheight,curbweight,enginesize,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price
84,3,gas,turbo,two,level_wagon_hatchback,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,bbl4_spdi_spfi,entry_level,95.9,173.2,66.3,50.2,2926,156,3.59,3.86,7.0,145,5000,19,24,14489.0
134,3,gas,std,two,level_wagon_hatchback,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,mpfi_s,mid_level,99.1,186.6,66.5,56.1,2707,121,2.54,2.07,9.3,110,5250,21,28,15040.0
109,0,gas,std,four,level_wagon_hatchback,rwd,front,I_Rotor,two_three_four,mpfi_s,mid_level,114.2,198.9,68.4,58.7,3230,120,3.46,3.19,8.4,97,5000,19,24,12440.0
184,1_2_level_pos,diesel,std,four,sedan,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,idi,entry_level,97.3,171.7,65.5,55.7,2264,97,3.01,3.4,23.0,52,4800,37,46,7995.0
186,1_2_level_pos,gas,std,four,sedan,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,mpfi_s,entry_level,97.3,171.7,65.5,55.7,2275,109,3.19,3.4,9.0,85,5250,27,34,8495.0
32,1_2_level_pos,gas,std,two,level_wagon_hatchback,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,bbl1_2,entry_level,93.7,150.0,64.0,52.6,1837,79,2.91,3.07,10.1,60,5500,38,42,5399.0
104,3,gas,std,two,level_wagon_hatchback,rwd,front,OHCV_DOHCV,five_six,mpfi_s,entry_level,91.3,170.7,67.9,49.7,3071,181,3.43,3.27,9.0,160,5200,19,25,17199.0
41,0,gas,std,four,sedan,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,mpfi_s,entry_level,96.5,175.4,65.2,54.1,2465,110,3.15,3.58,9.0,101,5800,24,28,12945.0
163,1_2_level_pos,gas,std,two,sedan,rwd,front,OHC_DOHC_ohcf,two_three_four,bbl1_2,entry_level,94.5,168.7,64.0,52.6,2169,98,3.19,3.03,9.0,70,4800,29,34,8058.0
127,3,gas,std,two,level_convertible_hardtop,rwd,rear,OHC_DOHC_ohcf,five_six,mpfi_s,high_end,89.5,168.9,65.0,51.6,2756,194,3.74,2.9,9.5,207,5900,17,25,34028.0
132,3,gas,std,two,level_wagon_hatchback,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,mpfi_s,mid_level,99.1,186.6,66.5,56.1,2658,121,3.54,3.07,9.31,110,5250,21,28,11850.0
44,1_2_level_pos,gas,std,two,sedan,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,bbl1_2,entry_level,94.5,155.9,63.6,52.0,1874,90,3.03,3.11,9.6,70,5400,38,43,8916.5
40,0,gas,std,four,sedan,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,bbl1_2,entry_level,96.5,175.4,62.5,54.1,2372,110,3.15,3.58,9.0,86,5800,27,33,10295.0
160,0,gas,std,four,sedan,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,bbl1_2,entry_level,95.7,166.3,64.4,53.0,2094,98,3.19,3.03,9.0,70,4800,38,47,7738.0
